Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500096,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity
500459,PGHH,PROCTER &amp; GAMBLE HYGIENE &amp; HEALTH CARE LTD.,Active,A ,10.00,INE179A01014,Personal Products,Equity
500696,HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,A ,1.00,INE030A01027,Personal Products,Equity
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,Active,A ,1.00,INE259A01022,Personal Products,Equity
506522,JLMORI,J.L.MORISON (INDIA) LTD.,Active,XC,10.00,INE430D01015,Personal Products,Equity
507815,GILLETTE,GILLETTE INDIA LTD.,Active,B ,10.00,INE322A01010,Personal Products,Equity
507970,PARMCOS-B,PARAMOUNT COSMETICS (INDIA) LTD.,Active,XT,10.00,INE143I01013,Personal Products,Equity
523120,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,XT,10.00,INE628D01014,Personal Products,Equity
530843,CUPID,CUPID LTD.-$,Active,XC,10.00,INE509F01011,Personal Products,Equity
531162,EMAMILTD,EMAMI LTD.-$,Active,A ,1.00,INE548C01032,Personal Products,Equity
531642,MARICO,MARICO LTD.,Active,A ,1.00,INE196A01026,Personal Products,Equity
532034,SAFALHBS,Safal Herbs Limited,Active,XT,1.00,INE880M01020,Personal Products,Equity
532424,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,Active,A ,1.00,INE102D01028,Personal Products,Equity
532771,JHS,JHS SVENDGAARD LABORATORIES LTD.,Active,B ,10.00,INE544H01014,Personal Products,Equity
533229,BAJAJCORP,BAJAJ CORP LTD.,Active,B ,1.00,INE933K01021,Personal Products,Equity
539450,SHK,S H Kelkar and Company Ltd,Active,B ,10.00,INE500L01026,Personal Products,Equity
