Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500068,DISAQ,DISA INDIA LTD.,Active,XC,10.00,INE131C01011,Industrial Machinery,Equity
500147,CMIFPE,CMI FPE LTD.-$,Active,XC,10.00,INE515A01019,Industrial Machinery,Equity
500210,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,B ,10.00,INE177A01018,Industrial Machinery,Equity
500214,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,XT,10.00,INE570A01014,Industrial Machinery,Equity
500241,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,B ,2.00,INE732A01036,Industrial Machinery,Equity
500243,KIRLOSIND,Kirloskar Industries Ltd,Active,B ,10.00,INE250A01039,Industrial Machinery,Equity
500246,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,XD,10.00,INE601C01013,Industrial Machinery,Equity
500249,KSBPUMPS,KSB PUMPS LTD.,Active,B ,10.00,INE999A01015,Industrial Machinery,Equity
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A ,10.00,INE269B01029,Industrial Machinery,Equity
500480,CUMMINSIND,CUMMINS INDIA LTD.,Active,A ,2.00,INE298A01020,Industrial Machinery,Equity
500540,PREMIER,PREMIER LTD.,Active,B ,10.00,INE342A01018,Industrial Machinery,Equity
501455,GREAVESCOT,GREAVES COTTON LTD.,Active,B ,2.00,INE224A01026,Industrial Machinery,Equity
502865,FORBESCO,FORBES &amp; COMPANY LTD.-$,Active,B ,10.00,INE518A01013,Industrial Machinery,Equity
504220,WSIND,W.S.INDUSTRIES (INDIA) LTD.-$,Active,B ,10.00,INE100D01014,Industrial Machinery,Equity
504959,STOVACQ,STOVEC INDUSTRIES LTD.,Active,XC,10.00,INE755D01015,Industrial Machinery,Equity
505242,DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$,Active,B ,10.00,INE221B01012,Industrial Machinery,Equity
505250,GGDANDE,G.G.DANDEKAR MACHINE WORKS LTD.,Active,XD,1.00,INE631D01026,Industrial Machinery,Equity
505255,GMM,GMM PFAUDLER LTD.,Active,XC,2.00,INE541A01023,Industrial Machinery,Equity
505283,KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.,Active,XC,10.00,INE811A01012,Industrial Machinery,Equity
505299,KULKPOWT,KULKARNI POWER &amp; TOOLS LTD.,Active,XT,5.00,INE731D01024,Industrial Machinery,Equity
505302,LXMIATO,LAKSHMI AUTOMATIC LOOM WORKS LTD.,Active,XT,10.00,INE718M01014,Industrial Machinery,Equity
505320,LYNMC,LYNX MACHINERY &amp; COMMERCIALS LTD.,Active,XD,10.00,INE732D01014,Industrial Machinery,Equity
505324,MANUGRAPH,MANUGRAPH INDIA LTD.-$,Active,B ,2.00,INE867A01022,Industrial Machinery,Equity
505336,MIRCH,Mirch Technologies (India) Ltd,Active,XT,10.00,INE098E01018,Industrial Machinery,Equity
505358,INTEGRAEN,INTEGRA ENGINEERING INDIA LTD.,Active,XD,1.00,INE984B01023,Industrial Machinery,Equity
505368,REVATHI,REVATHI EQUIPMENT LTD.-$,Active,B ,10.00,INE617A01013,Industrial Machinery,Equity
505400,TEXINFRA,TEXMACO INFRASTRUCTURE &amp; HOLDINGS LTD.,Active,B ,1.00,INE435C01024,Industrial Machinery,Equity
505412,WENDT,WENDT (INDIA) LTD.,Active,B ,10.00,INE274C01019,Industrial Machinery,Equity
